player_id,minutes_played,total_passes,accurate_passes,key_passes,through_balls,assists,progressive_passes,progressive_carries,passes_into_final_third,passes_into_penalty_area,successful_dribbles,total_dribbles,shots,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_won,aerials_total,shots_blocked,crosses,crosses_successful,possession_lost,touches,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,appearances,player_name,team_name,team_id,position,age,league,key_passes_p90,through_balls_p90,assists_p90,progressive_passes_p90,progressive_carries_p90,passes_into_final_third_p90,passes_into_penalty_area_p90,successful_dribbles_p90,total_dribbles_p90,shots_p90,tackles_p90,tackles_successful_p90,interceptions_p90,ball_recoveries_p90,clearances_p90,aerials_won_p90,aerials_total_p90,shots_blocked_p90,crosses_p90,crosses_successful_p90,possession_lost_p90,touches_p90,touches_final_third_p90,total_passes_p90,accurate_passes_p90,penalty_area_touches_p90,half_space_passes_p90,possession_won_final_third_p90,carries_into_final_third_p90,forward_passes_p90,pass_accuracy,dribble_success_rate,aerial_win_rate,tackle_success_rate,cross_accuracy,possession_won,possession_won_p90,forward_pass_pct,ball_winning_height,shot_creating_actions_p90,def_actions_p90,direct_creation_p90,through_balls_p90_league_pct,through_balls_p90_pct,shots_p90_league_pct,shots_p90_pct,key_passes_p90_league_pct,key_passes_p90_pct,assists_p90_league_pct,assists_p90_pct,progressive_carries_p90_league_pct,progressive_carries_p90_pct,touches_final_third_p90_league_pct,touches_final_third_p90_pct,passes_into_penalty_area_p90_league_pct,passes_into_penalty_area_p90_pct,pass_accuracy_league_pct,pass_accuracy_pct,forward_pass_pct_league_pct,forward_pass_pct_pct,total_passes_p90_league_pct,total_passes_p90_pct,progressive_passes_p90_league_pct,progressive_passes_p90_pct,carries_into_final_third_p90_league_pct,carries_into_final_third_p90_pct,penalty_area_touches_p90_league_pct,penalty_area_touches_p90_pct,crosses_p90_league_pct,crosses_p90_pct,successful_dribbles_p90_league_pct,successful_dribbles_p90_pct,role_score_Creator,role_score_Ball Progressor,role_score_Box Threat,role_score_Deep Builder,primary_role,chance_creation_score
386390.0,1364,636,487,42,9,3,131,0,59,69,38,87,31,14,11,0,76,8,29,54,12,23,8,198,909,491,258,117,223,11,15,3582.2,76,16,Charles De Ketelaere,Atalanta,300,AMC,24,Serie_A,2.771260997067449,0.593841642228739,0.19794721407624635,8.643695014662756,0.0,3.8929618768328447,4.552785923753666,2.5073313782991202,5.7404692082111435,2.0454545454545454,0.9237536656891495,0.7258064516129032,0.0,5.0146627565982405,0.5278592375366569,1.913489736070381,3.563049853372434,0.7917888563049854,1.5175953079178885,0.5278592375366569,13.06451612903226,59.97800586510264,32.39736070381232,41.96480938416422,32.13343108504399,7.719941348973607,14.71407624633431,0.7258064516129032,0.9897360703812317,17.023460410557185,76.57232704402516,43.67816091954023,53.70370370370371,78.57142857142857,34.78260869565217,87,5.7404692082111435,40.56603773584906,47.13421052631579,5.2785923753665696,0.9237536656891495,2.969208211143695,94.94949494949495,94.94949494949495,86.86868686868688,86.86868686868688,98.98989898989899,98.98989898989899,87.87878787878788,87.87878787878788,50.505050505050505,50.505050505050505,97.97979797979798,97.97979797979798,100.0,100.0,30.303030303030305,30.303030303030305,51.515151515151516,51.515151515151516,59.59595959595959,59.59595959595959,88.88888888888889,88.88888888888889,92.92929292929293,92.92929292929293,98.98989898989899,98.98989898989899,57.57575757575758,57.57575757575758,97.97979797979798,97.97979797979798,90.5,89.4,94.7,65.7,Box Threat,87.6
494525.0,2131,1004,794,57,8,5,133,0,55,87,62,132,77,14,4,6,87,7,8,17,12,97,24,280,1450,853,314,180,328,18,22,4363.9,93,24,Kenan Yildiz,Juventus,87,AMC,20,Serie_A,2.4073205068043175,0.337869544814641,0.21116846550915064,5.617081182543407,0.0,2.322853120600657,3.674331299859221,2.6184889723134677,5.574847489441577,3.25199436884092,0.5912717034256217,0.1689347724073205,0.25340215861098075,3.674331299859221,0.29563585171281087,0.337869544814641,0.7179727827311122,0.5068043172219615,4.096668230877522,1.013608634443923,11.825434068512436,61.23885499765368,36.0253402158611,42.402627874237446,33.53355232285312,7.602064758329422,13.852651337400282,0.7602064758329422,0.9291412482402628,13.26137963397466,79.08366533864542,46.96969696969697,47.05882352941176,28.57142857142857,24.742268041237114,97,4.096668230877522,31.274900398406373,46.92365591397849,5.025809479117785,0.8446738620366026,2.618488972313468,88.88888888888889,88.88888888888889,96.96969696969697,96.96969696969697,95.95959595959596,95.95959595959596,90.9090909090909,90.9090909090909,50.505050505050505,50.505050505050505,100.0,100.0,96.96969696969697,96.96969696969697,41.41414141414141,41.41414141414141,10.1010101010101,10.1010101010101,61.61616161616161,61.61616161616161,63.63636363636363,63.63636363636363,88.88888888888889,88.88888888888889,97.97979797979798,97.97979797979798,92.92929292929293,92.92929292929293,100.0,100.0,94.1,83.3,97.8,55.6,Box Threat,86.6
393039.0,733,388,306,20,1,1,69,0,39,26,10,24,14,6,3,4,29,4,3,18,6,43,12,96,500,236,151,40,117,7,6,1635.4,33,10,Lazar Samardzic,Atalanta,300,AMC,24,Serie_A,2.455661664392906,0.12278308321964529,0.12278308321964529,8.472032742155525,0.0,4.788540245566167,3.1923601637107777,1.227830832196453,2.9467939972714867,1.718963165075034,0.7366984993178717,0.36834924965893584,0.49113233287858116,3.5607094133697137,0.49113233287858116,0.36834924965893584,2.210095497953615,0.7366984993178717,5.279672578444748,1.4733969986357434,11.787175989085947,61.391541609822646,28.976807639836288,47.63983628922237,37.57162346521146,4.911323328785812,14.365620736698498,0.859481582537517,0.7366984993178717,18.54024556616644,78.8659793814433,41.66666666666667,16.666666666666664,50.0,27.906976744186046,36,4.42019099590723,38.91752577319588,49.55757575757576,3.683492496589359,1.2278308321964528,2.5784447476125516,49.494949494949495,49.494949494949495,74.74747474747475,74.74747474747475,96.96969696969697,96.96969696969697,69.6969696969697,69.6969696969697,50.505050505050505,50.505050505050505,94.94949494949495,94.94949494949495,94.94949494949495,94.94949494949495,39.39393939393939,39.39393939393939,43.43434343434344,43.43434343434344,75.75757575757575,75.75757575757575,87.87878787878788,87.87878787878788,80.8080808080808,80.8080808080808,88.88888888888889,88.88888888888889,96.96969696969697,96.96969696969697,85.85858585858585,85.85858585858585,86.2,80.7,85.5,69.8,Creator,82.2
148684.0,1977,1384,1145,59,7,6,232,0,117,85,18,40,26,42,22,4,121,7,11,25,19,80,29,261,1641,639,585,85,366,17,11,5557.8,125,24,Nicolò Barella,Inter,75,MC,29,Serie_A,2.685887708649469,0.31866464339908956,0.27314112291350534,10.56145675265554,0.0,5.326251896813353,3.8694992412746587,0.8194233687405159,1.8209408194233687,1.1836115326251897,1.9119878603945373,1.0015174506828528,0.1820940819423369,5.50834597875569,0.31866464339908956,0.5007587253414264,1.1380880121396055,0.8649468892261002,3.6418816388467374,1.3201820940819424,11.88163884673748,74.7040971168437,29.089529590288315,63.00455235204856,52.12443095599393,3.8694992412746587,16.661608497723822,0.7738998482549317,0.5007587253414264,26.631259484066767,82.73121387283237,45.0,44.0,52.38095238095239,36.25,147,6.69195751138088,42.26878612716763,44.4624,3.505311077389985,2.0940819423368744,2.9590288315629745,86.86868686868688,86.86868686868688,46.464646464646464,46.464646464646464,97.97979797979798,97.97979797979798,96.96969696969697,96.96969696969697,50.505050505050505,50.505050505050505,95.95959595959596,95.95959595959596,97.97979797979798,97.97979797979798,64.64646464646465,64.64646464646465,63.63636363636363,63.63636363636363,94.94949494949495,94.94949494949495,96.96969696969697,96.96969696969697,61.61616161616161,61.61616161616161,75.75757575757575,75.75757575757575,86.86868686868688,86.86868686868688,69.6969696969697,69.6969696969697,95.0,70.0,70.8,85.3,Creator,81.2
425079.0,1314,601,481,25,2,3,103,0,60,33,13,59,29,10,7,7,77,8,6,23,14,33,9,166,855,391,226,84,202,20,13,4474.0,84,17,Matías Soulé,Roma,84,AMC,22,Serie_A,1.7123287671232876,0.136986301369863,0.2054794520547945,7.0547945205479445,0.0,4.10958904109589,2.2602739726027394,0.8904109589041096,4.041095890410959,1.9863013698630136,0.684931506849315,0.4794520547945205,0.4794520547945205,5.273972602739725,0.547945205479452,0.410958904109589,1.5753424657534245,0.958904109589041,2.2602739726027394,0.6164383561643836,11.36986301369863,58.561643835616444,26.780821917808222,41.16438356164384,32.945205479452056,5.7534246575342465,13.835616438356164,1.36986301369863,0.8904109589041096,15.47945205479452,80.0332778702163,22.033898305084744,26.08695652173913,70.0,27.27272727272727,91,6.232876712328767,37.60399334442596,53.26190476190476,2.602739726027397,1.1643835616438356,1.917808219178082,52.52525252525253,52.52525252525253,85.85858585858585,85.85858585858585,85.85858585858585,85.85858585858585,88.88888888888889,88.88888888888889,50.505050505050505,50.505050505050505,92.92929292929293,92.92929292929293,81.81818181818183,81.81818181818183,49.494949494949495,49.494949494949495,36.36363636363637,36.36363636363637,56.56565656565656,56.56565656565656,80.8080808080808,80.8080808080808,85.85858585858585,85.85858585858585,92.92929292929293,92.92929292929293,71.71717171717171,71.71717171717171,76.76767676767676,76.76767676767676,79.8,78.6,89.3,64.2,Box Threat,79.5
448659.0,2217,1091,874,40,9,6,154,0,96,42,51,107,93,63,38,18,105,11,19,38,27,48,11,273,1591,592,438,89,245,20,27,5934.3,123,24,Nico Paz,Como,1290,AMR,21,Serie_A,1.6238159675236805,0.3653585926928281,0.2435723951285521,6.2516914749661705,0.0,3.8971583220568338,1.7050067658998647,2.0703653585926927,4.343707713125846,3.7753721244925575,2.557510148849797,1.5426251691474968,0.7307171853856562,4.2625169147496615,0.44654939106901215,0.7713125845737484,1.5426251691474968,1.0960757780784844,1.9485791610284169,0.44654939106901215,11.08254397834912,64.5872801082544,24.032476319350472,44.28958051420839,35.48037889039242,3.6129905277401893,9.945872801082544,0.8119079837618403,1.0960757780784844,17.780784844384304,80.10999083409716,47.66355140186916,50.0,60.317460317460316,22.916666666666664,161,6.535859269282814,40.14665444546288,48.24634146341464,3.6941813261163734,3.2882273342354535,1.8673883626522327,89.8989898989899,89.8989898989899,100.0,100.0,80.8080808080808,80.8080808080808,95.95959595959596,95.95959595959596,50.505050505050505,50.505050505050505,86.86868686868688,86.86868686868688,69.6969696969697,69.6969696969697,50.505050505050505,50.505050505050505,50.505050505050505,50.505050505050505,67.67676767676768,67.67676767676768,69.6969696969697,69.6969696969697,96.96969696969697,96.96969696969697,68.68686868686868,68.68686868686868,64.64646464646465,64.64646464646465,95.95959595959596,95.95959595959596,79.0,86.6,82.5,63.7,Ball Progressor,79.5
409221.0,1111,511,432,19,1,3,46,0,23,33,32,61,42,17,10,5,48,3,2,9,8,39,9,108,738,419,114,112,156,13,11,2436.2,53,15,Francisco Conceição,Juventus,87,AMC,23,Serie_A,1.5391539153915392,0.081008100810081,0.24302430243024303,3.7263726372637263,0.0,1.8631863186318631,2.673267326732673,2.592259225922592,4.941494149414941,3.4023402340234026,1.3771377137713772,0.8100810081008101,0.40504050405040504,3.8883888388838885,0.24302430243024303,0.162016201620162,0.7290729072907292,0.648064806480648,3.159315931593159,0.7290729072907292,8.748874887488748,59.78397839783978,33.94239423942394,41.39513951395139,34.99549954995499,9.072907290729074,12.637263726372636,1.053105310531053,0.8910891089108911,9.234923492349235,84.54011741682974,52.459016393442624,22.22222222222222,58.82352941176471,23.076923076923077,63,5.103510351035103,22.309197651663403,45.966037735849056,4.131413141314131,1.7821782178217822,1.7821782178217822,36.36363636363637,36.36363636363637,97.97979797979798,97.97979797979798,75.75757575757575,75.75757575757575,94.94949494949495,94.94949494949495,50.505050505050505,50.505050505050505,98.98989898989899,98.98989898989899,91.91919191919192,91.91919191919192,74.74747474747475,74.74747474747475,1.0101010101010102,1.0101010101010102,58.58585858585859,58.58585858585859,32.323232323232325,32.323232323232325,87.37373737373737,87.37373737373737,100.0,100.0,77.77777777777779,77.77777777777779,98.98989898989899,98.98989898989899,80.8,76.2,98.3,49.4,Box Threat,79.3
28421.0,1010,615,519,11,3,1,109,0,51,29,9,18,30,20,16,12,64,10,9,14,15,21,2,105,782,331,284,56,190,9,10,3370.4,76,13,Henrikh Mkhitaryan,Inter,75,MC,37,Serie_A,0.9801980198019802,0.26732673267326734,0.0891089108910891,9.712871287128714,0.0,4.544554455445545,2.5841584158415842,0.8019801980198019,1.6039603960396038,2.673267326732673,1.7821782178217822,1.4257425742574257,1.0693069306930694,5.702970297029703,0.8910891089108911,0.8019801980198019,1.2475247524752475,1.3366336633663365,1.8712871287128714,0.1782178217821782,9.356435643564357,69.68316831683168,29.495049504950497,54.8019801980198,46.24752475247525,4.99009900990099,16.93069306930693,0.8019801980198019,0.8910891089108911,25.306930693069308,84.39024390243902,50.0,64.28571428571429,80.0,9.523809523809524,92,8.198019801980198,46.17886178861789,44.347368421052636,1.782178217821782,2.8514851485148514,1.0693069306930694,81.81818181818183,81.81818181818183,93.93939393939394,93.93939393939394,53.535353535353536,53.535353535353536,55.55555555555556,55.55555555555556,50.505050505050505,50.505050505050505,96.96969696969697,96.96969696969697,89.8989898989899,89.8989898989899,73.73737373737373,73.73737373737373,78.78787878787878,78.78787878787878,88.88888888888889,88.88888888888889,91.91919191919192,91.91919191919192,87.37373737373737,87.37373737373737,89.8989898989899,89.8989898989899,62.62626262626263,62.62626262626263,67.67676767676768,67.67676767676768,69.0,78.7,92.4,81.6,Box Threat,79.2
73084.0,648,446,367,16,10,0,69,0,55,21,5,9,20,4,3,5,19,2,1,6,2,27,4,83,512,178,197,25,112,5,6,1176.4,24,8,Kevin De Bruyne,Napoli,276,AMC,34,Serie_A,2.2222222222222223,1.3888888888888888,0.0,9.583333333333334,0.0,7.638888888888889,2.9166666666666665,0.6944444444444444,1.25,2.7777777777777777,0.5555555555555556,0.41666666666666663,0.6944444444444444,2.638888888888889,0.2777777777777778,0.1388888888888889,0.8333333333333333,0.2777777777777778,3.75,0.5555555555555556,11.527777777777779,71.11111111111111,24.72222222222222,61.94444444444444,50.97222222222222,3.472222222222222,15.555555555555555,0.6944444444444444,0.8333333333333333,27.361111111111114,82.28699551569507,55.55555555555556,16.666666666666664,75.0,14.814814814814813,27,3.75,44.17040358744394,49.01666666666667,2.916666666666667,1.25,2.2222222222222223,100.0,100.0,94.94949494949495,94.94949494949495,91.91919191919192,91.91919191919192,18.181818181818183,18.181818181818183,50.505050505050505,50.505050505050505,87.87878787878788,87.87878787878788,92.92929292929293,92.92929292929293,61.61616161616161,61.61616161616161,69.6969696969697,69.6969696969697,92.92929292929293,92.92929292929293,90.9090909090909,90.9090909090909,83.83838383838383,83.83838383838383,66.66666666666666,66.66666666666666,89.8989898989899,89.8989898989899,59.59595959595959,59.59595959595959,78.0,74.6,82.4,82.0,Box Threat,78.8
407944.0,811,470,400,34,4,3,53,0,25,38,9,24,12,10,7,5,36,2,2,3,6,43,19,85,598,239,162,31,83,7,4,1780.8,41,10,Martin Baturina,Como,1290,AMC,23,Serie_A,3.773119605425401,0.4438964241676942,0.33292231812577067,5.881627620221948,0.0,2.7743526510480887,4.217016029593095,0.9987669543773119,2.6633785450061653,1.3316892725030827,1.1097410604192355,0.7768187422934648,0.5548705302096177,3.9950678175092476,0.2219482120838471,0.2219482120838471,0.33292231812577067,0.6658446362515413,4.771886559802713,2.1085080147965476,9.432799013563502,66.36251541307028,26.52281134401973,52.157829839704064,44.38964241676942,3.44019728729963,9.210850801479655,0.7768187422934648,0.4438964241676942,17.977805178791616,85.1063829787234,37.5,66.66666666666666,70.0,44.18604651162791,48,5.326757090012331,34.46808510638298,43.43414634146341,4.771886559802713,1.6646115906288532,4.106041923551172,91.91919191919192,91.91919191919192,57.57575757575758,57.57575757575758,100.0,100.0,97.97979797979798,97.97979797979798,50.505050505050505,50.505050505050505,91.91919191919192,91.91919191919192,98.98989898989899,98.98989898989899,77.77777777777779,77.77777777777779,23.232323232323232,23.232323232323232,83.83838383838383,83.83838383838383,66.66666666666666,66.66666666666666,53.535353535353536,53.535353535353536,64.64646464646465,64.64646464646465,94.94949494949495,94.94949494949495,81.81818181818183,81.81818181818183,97.7,64.3,69.7,71.9,Creator,78.5
