player_id,minutes_played,total_passes,accurate_passes,key_passes,through_balls,long_balls,assists,shot_creating_actions,progressive_passes,passes_into_final_third,passes_into_penalty_area,successful_dribbles,total_dribbles,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_won,aerials_total,shots_blocked,crosses,crosses_successful,possession_lost,touches,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,appearances,starts,opp_possession_share,player_name,team_name,team_id,position,age,league,position_group,minutes_per_appearance,ninety_equivalents,start_rate,sample_reliability,score_confidence,is_full_sample,sample_tier,key_passes_p90,through_balls_p90,long_balls_p90,assists_p90,shot_creating_actions_p90,progressive_passes_p90,passes_into_final_third_p90,passes_into_penalty_area_p90,successful_dribbles_p90,total_dribbles_p90,shots_p90,goals_p90,tackles_p90,tackles_successful_p90,interceptions_p90,ball_recoveries_p90,clearances_p90,aerials_won_p90,aerials_total_p90,shots_blocked_p90,crosses_p90,crosses_successful_p90,possession_lost_p90,touches_p90,touches_final_third_p90,total_passes_p90,accurate_passes_p90,penalty_area_touches_p90,half_space_passes_p90,possession_won_final_third_p90,carries_into_final_third_p90,forward_passes_p90,pass_accuracy,dribble_success_rate,aerial_win_rate,tackle_success_rate,cross_accuracy,possession_won,possession_won_p90,forward_pass_pct,ball_winning_height,def_actions_p90,direct_creation_p90,tackles_successful_p90_league_pct,tackles_successful_p90_pct,interceptions_p90_league_pct,interceptions_p90_pct,clearances_p90_league_pct,clearances_p90_pct,aerial_win_rate_league_pct,aerial_win_rate_pct,shots_blocked_p90_league_pct,shots_blocked_p90_pct,progressive_passes_p90_league_pct,progressive_passes_p90_pct,long_balls_p90_league_pct,long_balls_p90_pct,pass_accuracy_league_pct,pass_accuracy_pct,ball_recoveries_p90_league_pct,ball_recoveries_p90_pct,tackle_success_rate_league_pct,tackle_success_rate_pct,aerials_won_p90_league_pct,aerials_won_p90_pct,carries_into_final_third_p90_league_pct,carries_into_final_third_p90_pct,passes_into_final_third_p90_league_pct,passes_into_final_third_p90_pct,forward_pass_pct_league_pct,forward_pass_pct_pct,role_score_Stopper,role_score_Aerial Dominator,role_score_Ball-Playing Defender,primary_role,overall_score,successful_dribbles_p90_league_pct,successful_dribbles_p90_pct,crosses_p90_league_pct,crosses_p90_pct,passes_into_penalty_area_p90_league_pct,passes_into_penalty_area_p90_pct,possession_won_final_third_p90_league_pct,possession_won_final_third_p90_pct,touches_final_third_p90_league_pct,touches_final_third_p90_pct,total_passes_p90_league_pct,total_passes_p90_pct,cross_accuracy_league_pct,cross_accuracy_pct,key_passes_p90_league_pct,key_passes_p90_pct,assists_p90_league_pct,assists_p90_pct,role_score_Defensive Fullback,role_score_Attacking Fullback,role_score_Inverted Fullback,role_score_Crossing Fullback,def_actions_p90_league_pct,def_actions_p90_pct,penalty_area_touches_p90_league_pct,penalty_area_touches_p90_pct,shots_p90_league_pct,shots_p90_pct,through_balls_p90_league_pct,through_balls_p90_pct,dribble_success_rate_league_pct,dribble_success_rate_pct,goals_p90_league_pct,goals_p90_pct,ball_winning_height_league_pct,ball_winning_height_pct,role_score_Creator,role_score_Ball Progressor,role_score_Box Threat,role_score_Deep Builder,role_score_Ball Winner,shot_creating_actions_p90_league_pct,shot_creating_actions_p90_pct,role_score_Touchline Winger,role_score_Inside Forward,role_score_Wide Creator,role_score_Pressing Winger,tackles_p90_league_pct,tackles_p90_pct,role_score_Finisher,role_score_Target Man,role_score_Creative Forward,role_score_Pressing Forward
444737.0,1756.0,1291,1145,7,4,130,0,10,222,138,7,3,10,18,3,28,19,24,55,124,72,101,11,3,0,153,1585,87,742,43,153,2,2,2863.5,79,33,15,0.4016400205234617,Ryan Flamingo,PSV Eindhoven,129,DC,23.0,Eredivisie,DEF,53.2,19.5,45.5,0.9727,97.3,True,Full sample,0.3587699316628702,0.20501138952164008,6.662870159453303,0.0,0.5125284738041003,11.378132118451026,7.072892938496584,0.3587699316628702,0.15375854214123008,0.5125284738041003,0.9225512528473804,0.15375854214123008,1.4350797266514808,0.9738041002277904,1.2300683371298406,2.8189066059225514,6.355353075170843,3.6902050113895215,5.176537585421412,0.5637813211845102,0.15375854214123008,0.0,7.841685649202733,81.23576309794989,4.458997722095672,66.16742596810934,58.684510250569474,2.203872437357631,7.841685649202733,0.10250569476082004,0.10250569476082004,38.029612756264235,88.69093725793958,30.0,71.28712871287128,67.85714285714286,0.0,98,5.022779043280182,57.474825716498835,36.24683544303797,2.6651480637813214,0.3587699316628702,89.1566265060241,89.1566265060241,93.97590361445783,93.97590361445783,98.79518072289156,98.79518072289156,98.79518072289156,98.79518072289156,78.3132530120482,78.3132530120482,96.3855421686747,96.3855421686747,61.44578313253012,61.44578313253012,79.51807228915662,79.51807228915662,15.66265060240964,15.66265060240964,83.13253012048193,83.13253012048193,97.59036144578313,97.59036144578313,54.21686746987952,54.21686746987952,96.3855421686747,96.3855421686747,80.72289156626506,80.72289156626506,75.5,97.0,80.8,Aerial Dominator,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400320.0,2167.0,1244,1066,10,2,114,0,30,194,92,12,20,28,20,1,48,31,23,117,129,73,127,20,12,1,186,1648,192,624,52,173,7,11,5026.2,140,25,23,0.4572174705029941,Ahmetcan Kaplan,NEC Nijmegen,116,DC,23.0,Eredivisie,DEF,86.7,24.1,92.0,0.996,99.6,True,Full sample,0.4153207198892478,0.08306414397784956,4.734656206737426,0.0,1.2459621596677435,8.057221965851406,3.82095062298108,0.4983848638670974,0.8306414397784956,1.1628980156898938,0.8306414397784956,0.04153207198892478,1.9935394554683896,1.2874942316566682,0.95523765574527,4.859252422704199,5.357637286571297,3.031841255191509,5.2745731425934475,0.8306414397784956,0.4983848638670974,0.04153207198892478,7.724965389940009,68.44485463774804,7.9741578218735585,51.665897554222425,44.27318874019382,2.1596677434240887,7.1850484540839865,0.29072450392247345,0.45685279187817257,25.916012921089067,85.69131832797427,71.42857142857143,57.48031496062992,64.58333333333334,8.333333333333332,171,7.101984310106137,50.160771704180064,35.90142857142857,2.9487771112136594,0.4153207198892478,92.7710843373494,92.7710843373494,59.036144578313255,59.036144578313255,78.3132530120482,78.3132530120482,59.036144578313255,59.036144578313255,93.97590361445783,93.97590361445783,71.08433734939759,71.08433734939759,18.072289156626507,18.072289156626507,50.602409638554214,50.602409638554214,95.18072289156626,95.18072289156626,71.08433734939759,71.08433734939759,89.1566265060241,89.1566265060241,96.3855421686747,96.3855421686747,53.01204819277109,53.01204819277109,26.506024096385545,26.506024096385545,81.6,75.8,59.2,Stopper,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331555.0,1616.0,1467,1343,12,2,60,0,20,256,174,13,8,14,11,0,28,17,36,103,49,23,47,11,2,0,130,1688,207,970,25,254,4,9,5150.8,139,18,18,0.3822069195282044,Jerdy Schouten,PSV Eindhoven,129,DC,29.0,Eredivisie,DEF,89.8,18.0,100.0,1.0,100.0,True,Full sample,0.6683168316831682,0.11138613861386139,3.3415841584158414,0.0,1.113861386138614,14.257425742574258,9.69059405940594,0.724009900990099,0.44554455445544555,0.7797029702970297,0.6126237623762376,0.0,1.5594059405940595,0.9467821782178218,2.004950495049505,5.736386138613861,2.728960396039604,1.280940594059406,2.617574257425743,0.6126237623762376,0.11138613861386139,0.0,7.24009900990099,94.00990099009901,11.528465346534654,81.70173267326733,74.79579207920793,1.3923267326732673,14.146039603960396,0.22277227722772278,0.5012376237623762,54.02227722772277,91.54737559645535,57.14285714285714,48.93617021276596,60.71428571428571,0.0,156,8.68811881188119,66.12133605998636,37.05611510791367,3.5643564356435644,0.6683168316831682,90.36144578313254,90.36144578313254,100.0,100.0,4.819277108433735,4.819277108433735,24.096385542168676,24.096385542168676,86.74698795180723,86.74698795180723,98.79518072289156,98.79518072289156,3.614457831325301,3.614457831325301,95.18072289156626,95.18072289156626,97.59036144578313,97.59036144578313,53.01204819277109,53.01204819277109,13.253012048192772,13.253012048192772,98.79518072289156,98.79518072289156,100.0,100.0,100.0,100.0,87.5,14.9,88.8,Ball-Playing Defender,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504417.0,2236.0,1540,1412,5,1,103,1,9,174,104,4,4,9,13,3,27,17,35,59,125,56,86,20,0,0,133,1852,70,912,39,128,1,2,3593.5,94,28,25,0.39989294333877357,Yarek Gasiorowski,PSV Eindhoven,129,DC,21.0,Eredivisie,DEF,79.9,24.8,89.3,0.9946,99.5,True,Full sample,0.20125223613595705,0.04025044722719141,4.145796064400716,0.04025044722719141,0.36225402504472276,7.003577817531306,4.186046511627907,0.16100178890876565,0.16100178890876565,0.36225402504472276,0.5232558139534884,0.12075134168157423,1.086762075134168,0.684257602862254,1.4087656529516994,2.3747763864042932,5.031305903398927,2.2540250447227193,3.4615384615384617,0.8050089445438282,0.0,0.0,5.353309481216458,74.5438282647585,2.817531305903399,61.985688729874774,56.83363148479428,1.569767441860465,5.152057245080501,0.04025044722719141,0.08050089445438283,36.70840787119857,91.68831168831169,44.44444444444444,65.11627906976744,62.96296296296296,,111,4.467799642218247,59.22077922077922,38.22872340425532,2.495527728085867,0.24150268336314845,71.08433734939759,71.08433734939759,96.3855421686747,96.3855421686747,86.74698795180723,86.74698795180723,89.1566265060241,89.1566265060241,97.59036144578313,97.59036144578313,49.39759036144578,49.39759036144578,12.048192771084338,12.048192771084338,96.3855421686747,96.3855421686747,8.433734939759036,8.433734939759036,60.8433734939759,60.8433734939759,66.26506024096386,66.26506024096386,43.373493975903614,43.373493975903614,63.85542168674698,63.85542168674698,90.36144578313254,90.36144578313254,71.7,79.2,59.6,Aerial Dominator,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406780.0,756.0,448,375,2,1,61,0,5,76,56,5,3,4,3,2,11,8,8,38,40,18,36,5,3,0,74,551,37,258,9,72,0,1,1623.0,46,12,7,0.4430900747770697,Max Bruns,Twente,113,DC,23.0,Eredivisie,DEF,63.0,8.4,58.3,0.9792,97.9,True,Full sample,0.23809523809523808,0.11904761904761904,7.261904761904762,0.0,0.5952380952380952,9.047619047619047,6.666666666666666,0.5952380952380952,0.3571428571428571,0.47619047619047616,0.3571428571428571,0.23809523809523808,1.3095238095238095,0.9523809523809523,0.9523809523809523,4.523809523809524,4.761904761904762,2.142857142857143,4.285714285714286,0.5952380952380952,0.3571428571428571,0.0,8.809523809523808,65.5952380952381,4.404761904761904,53.33333333333333,44.642857142857146,1.0714285714285714,8.571428571428571,0.0,0.11904761904761904,30.714285714285715,83.70535714285714,75.0,50.0,72.72727272727273,0.0,54,6.428571428571428,57.58928571428571,35.28260869565217,2.261904761904762,0.23809523809523808,83.13253012048193,83.13253012048193,62.65060240963856,62.65060240963856,60.24096385542169,60.24096385542169,28.915662650602407,28.915662650602407,72.28915662650603,72.28915662650603,85.54216867469879,85.54216867469879,78.3132530120482,78.3132530120482,26.506024096385545,26.506024096385545,86.74698795180723,86.74698795180723,84.33734939759037,84.33734939759037,60.24096385542169,60.24096385542169,60.24096385542169,60.24096385542169,95.18072289156626,95.18072289156626,84.33734939759037,84.33734939759037,76.0,49.3,69.6,Stopper,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123556.0,575.0,429,362,1,1,68,0,3,99,58,4,2,3,4,0,7,5,9,45,26,11,17,0,3,0,68,505,40,276,6,65,0,2,1640.7,54,6,6,0.46611925315423614,Joris van Overeem,SC Heerenveen,287,DC,32.0,Eredivisie,DEF,95.8,6.4,100.0,0.9013,90.1,False,Rotation sample,0.1565217391304348,0.1565217391304348,10.643478260869566,0.0,0.4695652173913044,15.495652173913044,9.078260869565218,0.6260869565217392,0.3130434782608696,0.4695652173913044,0.6260869565217392,0.0,1.0956521739130434,0.782608695652174,1.4086956521739131,7.043478260869565,4.069565217391305,1.7217391304347824,2.6608695652173915,0.0,0.4695652173913044,0.0,10.643478260869566,79.04347826086956,6.260869565217392,67.14782608695653,56.66086956521739,0.9391304347826088,10.173913043478262,0.0,0.3130434782608696,43.199999999999996,84.38228438228438,66.66666666666666,64.70588235294117,71.42857142857143,0.0,59,9.234782608695651,64.33566433566433,30.383333333333333,2.5043478260869563,0.1565217391304348,68.67469879518072,68.67469879518072,91.56626506024097,91.56626506024097,21.686746987951807,21.686746987951807,72.28915662650603,72.28915662650603,4.819277108433735,4.819277108433735,100.0,100.0,96.3855421686747,96.3855421686747,36.144578313253014,36.144578313253014,100.0,100.0,73.49397590361446,73.49397590361446,38.55421686746988,38.55421686746988,89.1566265060241,89.1566265060241,98.79518072289156,98.79518072289156,98.79518072289156,98.79518072289156,65.4,46.5,81.5,Ball-Playing Defender,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582294.0,1554.0,961,748,8,2,148,2,22,161,95,21,14,27,5,0,47,29,21,83,77,29,58,19,22,7,226,1263,292,415,21,241,7,12,3548.7,104,29,13,0.4433937406451641,Deveron Fonville,NEC Nijmegen,116,DC,23.0,Eredivisie,DEF,53.6,17.3,44.8,0.9724,97.2,True,Full sample,0.4633204633204633,0.11583011583011582,8.571428571428571,0.11583011583011582,1.2741312741312742,9.324324324324325,5.501930501930501,1.2162162162162162,0.8108108108108109,1.5637065637065637,0.28957528957528955,0.0,2.722007722007722,1.6795366795366795,1.2162162162162162,4.806949806949807,4.45945945945946,1.6795366795366795,3.359073359073359,1.1003861003861004,1.2741312741312742,0.40540540540540543,13.08880308880309,73.14671814671814,16.91119691119691,55.656370656370655,43.32046332046332,1.2162162162162162,13.957528957528956,0.40540540540540543,0.694980694980695,24.034749034749034,77.83558792924038,51.85185185185185,50.0,61.702127659574465,31.818181818181817,133,7.702702702702703,43.18418314255983,34.122115384615384,3.9382239382239383,0.5791505791505791,97.59036144578313,97.59036144578313,86.74698795180723,86.74698795180723,46.98795180722892,46.98795180722892,26.506024096385545,26.506024096385545,100.0,100.0,90.36144578313254,90.36144578313254,91.56626506024097,91.56626506024097,3.614457831325301,3.614457831325301,92.7710843373494,92.7710843373494,56.62650602409639,56.62650602409639,33.734939759036145,33.734939759036145,100.0,100.0,87.95180722891565,87.95180722891565,8.433734939759036,8.433734939759036,87.4,34.9,65.7,Stopper,92.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320427.0,660.0,441,388,3,0,44,1,4,68,39,2,1,1,4,0,9,8,10,35,29,17,37,0,0,0,53,517,32,275,15,43,0,1,1279.3,45,9,7,0.48344541188347834,Fredrik Oldrup Jensen,NAC Breda,783,DC,33.0,Eredivisie,DEF,73.3,7.3,77.8,0.9739,97.4,True,Full sample,0.40909090909090906,0.0,6.0,0.13636363636363635,0.5454545454545454,9.272727272727273,5.318181818181818,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.5454545454545454,0.0,1.2272727272727273,1.0909090909090908,1.3636363636363638,4.7727272727272725,3.9545454545454546,2.3181818181818183,5.045454545454546,0.0,0.0,0.0,7.2272727272727275,70.5,4.363636363636363,60.13636363636364,52.90909090909091,2.0454545454545454,5.863636363636364,0.0,0.13636363636363635,37.5,87.98185941043084,100.0,45.94594594594595,88.88888888888889,,53,7.2272727272727275,62.358276643990926,28.42888888888889,2.590909090909091,0.5454545454545454,84.33734939759037,84.33734939759037,89.1566265060241,89.1566265060241,14.457831325301203,14.457831325301203,19.27710843373494,19.27710843373494,1.2048192771084338,1.2048192771084338,89.1566265060241,89.1566265060241,46.98795180722892,46.98795180722892,72.28915662650603,72.28915662650603,91.56626506024097,91.56626506024097,97.59036144578313,97.59036144578313,69.87951807228916,69.87951807228916,65.06024096385542,65.06024096385542,85.54216867469879,85.54216867469879,95.18072289156626,95.18072289156626,71.4,38.6,77.5,Ball-Playing Defender,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452355.0,2097.0,1108,946,5,0,123,1,12,143,75,7,7,15,18,0,47,30,25,112,126,63,101,20,6,2,170,1468,100,578,69,95,1,4,4493.5,137,25,23,0.5070012440702495,Rio Hillen,NAC Breda,783,DC,23.0,Eredivisie,DEF,83.9,23.3,92.0,0.996,99.6,True,Full sample,0.21459227467811157,0.0,5.278969957081546,0.04291845493562232,0.5150214592274678,6.1373390557939915,3.218884120171674,0.30042918454935624,0.30042918454935624,0.6437768240343348,0.7725321888412017,0.0,2.017167381974249,1.2875536480686696,1.072961373390558,4.8068669527897,5.407725321888412,2.703862660944206,4.334763948497854,0.8583690987124463,0.2575107296137339,0.08583690987124463,7.296137339055794,63.00429184549356,4.291845493562232,47.553648068669524,40.60085836909871,2.9613733905579402,4.07725321888412,0.04291845493562232,0.17167381974248927,24.8068669527897,85.37906137184116,46.666666666666664,62.37623762376238,63.829787234042556,33.33333333333333,167,7.1673819742489275,52.166064981949454,32.7992700729927,3.090128755364807,0.2575107296137339,91.56626506024097,91.56626506024097,60.24096385542169,60.24096385542169,56.62650602409639,56.62650602409639,77.10843373493977,77.10843373493977,90.36144578313254,90.36144578313254,32.53012048192771,32.53012048192771,28.915662650602407,28.915662650602407,48.19277108433735,48.19277108433735,93.97590361445783,93.97590361445783,69.87951807228916,69.87951807228916,81.92771084337349,81.92771084337349,80.72289156626506,80.72289156626506,31.32530120481928,31.32530120481928,37.34939759036144,37.34939759036144,80.5,73.8,42.9,Stopper,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535931.0,3118.0,1775,1581,13,1,214,0,20,309,150,9,7,14,10,0,73,35,49,139,215,58,101,24,0,0,201,2285,69,963,44,148,1,3,5928.1,188,33,33,0.5311675182032073,Marvin Young,Sparta Rotterdam,303,DC,20.0,Eredivisie,DEF,94.5,34.6,100.0,1.0,100.0,True,Full sample,0.3752405388069275,0.028864656831302116,6.177036561898653,0.0,0.5772931366260423,8.919178960872355,4.329698524695318,0.25978191148171903,0.20205259781911483,0.40410519563822966,0.28864656831302116,0.0,2.1071199486850545,1.010262989095574,1.4143681847338037,4.012187299550994,6.205901218729956,1.6741500962155227,2.915330339961514,0.6927517639512508,0.0,0.0,5.801796023091725,65.95574085952533,1.9916613213598462,51.23476587556125,45.63502245028865,1.2700449005772931,4.271969211032713,0.028864656831302116,0.08659397049390635,27.79666452854394,89.07042253521126,50.0,57.42574257425742,47.94520547945205,,223,6.436818473380372,54.25352112676056,31.53244680851064,3.521488133418858,0.3752405388069275,77.10843373493977,77.10843373493977,85.54216867469879,85.54216867469879,75.90361445783132,75.90361445783132,56.62650602409639,56.62650602409639,71.08433734939759,71.08433734939759,84.33734939759037,84.33734939759037,51.80722891566265,51.80722891566265,83.13253012048193,83.13253012048193,63.85542168674698,63.85542168674698,2.4096385542168677,2.4096385542168677,31.32530120481928,31.32530120481928,49.39759036144578,49.39759036144578,71.08433734939759,71.08433734939759,56.62650602409639,56.62650602409639,64.8,51.3,71.5,Ball-Playing Defender,89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
