match_id,date_str,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,total_events
1901138,01022026,300,Atalanta,1290,Como,0,0,1595
1901140,01022026,2731,Cremonese,75,Inter,0,2,1503
1901146,01022026,87,Juventus,24341,Parma Calcio 1913,5,0,1496
1901150,01022026,79,Lecce,72,Torino,0,1,1504
1901379,01032026,80,AC Milan,2731,Cremonese,2,0,1493
1901383,01032026,84,Roma,87,Juventus,3,3,1544
1901386,01032026,77,Lazio,72,Torino,0,2,1684
1901387,01032026,2889,Sassuolo,300,Atalanta,2,1,1514
1901204,01112025,2731,Cremonese,87,Juventus,1,2,1527
1901212,01112025,276,Napoli,1290,Como,0,0,1513
1901220,01112025,300,Atalanta,86,Udinese,0,1,1460
1901266,01122025,2731,Cremonese,71,Bologna,3,1,1534
1901323,02012026,78,Cagliari,80,AC Milan,0,1,1581
1901152,02022026,86,Udinese,84,Roma,1,0,1485
1901382,02032026,71,Bologna,777,Pisa,1,0,1491
1901385,02032026,73,Fiorentina,86,Udinese,0,3,1451
1901206,02112025,79,Lecce,73,Fiorentina,1,0,1429
1901210,02112025,84,Roma,80,AC Milan,0,1,1511
1901214,02112025,24341,Parma Calcio 1913,71,Bologna,1,3,1266
1901218,02112025,777,Pisa,72,Torino,2,2,1465
1901222,02112025,76,Verona,75,Inter,2,1,1509
1901322,03012026,300,Atalanta,84,Roma,1,0,1552
1901324,03012026,86,Udinese,1290,Como,0,1,1558
1901326,03012026,278,Genoa,777,Pisa,1,1,1459
1901328,03012026,87,Juventus,79,Lecce,1,1,1661
1901330,03012026,2889,Sassuolo,24341,Parma Calcio 1913,1,1,1588
1901134,03022026,71,Bologna,80,AC Milan,0,3,1514
1901151,03102025,2889,Sassuolo,76,Verona,1,0,1383
1901208,03112025,78,Cagliari,77,Lazio,0,2,1448
1901216,03112025,278,Genoa,2889,Sassuolo,2,1,1449
1901325,04012026,73,Fiorentina,2731,Cremonese,1,0,1430
1901327,04012026,71,Bologna,75,Inter,1,3,1482
1901329,04012026,77,Lazio,276,Napoli,0,2,1470
1901331,04012026,72,Torino,76,Verona,3,0,1616
1901133,04102025,300,Atalanta,1290,Como,1,1,1572
1901139,04102025,2731,Cremonese,75,Inter,1,4,1509
1901143,04102025,77,Lazio,72,Torino,3,3,1484
1901147,04102025,24341,Parma Calcio 1913,79,Lecce,0,1,1401
1901135,05102025,71,Bologna,777,Pisa,4,0,1325
1901137,05102025,84,Roma,73,Fiorentina,2,1,1452
1901141,05102025,87,Juventus,80,AC Milan,0,0,1419
1901145,05102025,276,Napoli,278,Genoa,2,1,1435
1901149,05102025,86,Udinese,78,Cagliari,1,1,1389
1901335,06012026,84,Roma,79,Lecce,2,0,1554
1901339,06012026,777,Pisa,1290,Como,0,3,1497
1901340,06012026,2889,Sassuolo,87,Juventus,1,2,1647
1901154,06022026,777,Pisa,76,Verona,0,0,1474
1901389,06032026,276,Napoli,72,Torino,2,1,1528
1901284,06122025,75,Inter,1290,Como,4,0,1415
1901288,06122025,2889,Sassuolo,73,Fiorentina,3,1,1421
1901291,06122025,300,Atalanta,76,Verona,1,3,1479
1901332,07012026,71,Bologna,300,Atalanta,0,2,1489
1901334,07012026,73,Fiorentina,77,Lazio,2,2,1474
1901337,07012026,76,Verona,276,Napoli,2,2,1614
1901338,07012026,24341,Parma Calcio 1913,75,Inter,0,2,1648
1901341,07012026,86,Udinese,72,Torino,2,1,1497
1901160,07022026,73,Fiorentina,72,Torino,2,2,1534
1901162,07022026,278,Genoa,276,Napoli,2,3,1433
1901390,07032026,300,Atalanta,86,Udinese,2,2,1529
1901391,07032026,78,Cagliari,1290,Como,1,2,1541
1901394,07032026,777,Pisa,87,Juventus,0,4,1556
1901240,07112025,2731,Cremonese,777,Pisa,0,1,1500
1901282,07122025,84,Roma,78,Cagliari,0,1,1419
1901283,07122025,2731,Cremonese,79,Lecce,2,0,1406
1901285,07122025,77,Lazio,71,Bologna,1,1,1470
1901286,07122025,87,Juventus,276,Napoli,1,2,1583
1901333,08012026,78,Cagliari,2731,Cremonese,2,2,1533
1901336,08012026,80,AC Milan,278,Genoa,1,1,1604
1901156,08022026,75,Inter,2889,Sassuolo,5,0,1301
1901159,08022026,24341,Parma Calcio 1913,71,Bologna,1,0,1352
1901164,08022026,87,Juventus,77,Lazio,2,2,1717
1901357,08022026,86,Udinese,79,Lecce,1,2,1434
1901392,08032026,73,Fiorentina,24341,Parma Calcio 1913,0,0,1474
1901396,08032026,79,Lecce,2731,Cremonese,2,1,1425
1901398,08032026,76,Verona,71,Bologna,2,1,1387
1901228,08112025,1290,Como,78,Cagliari,0,0,1466
1901234,08112025,87,Juventus,72,Torino,0,0,1716
1901236,08112025,76,Verona,79,Lecce,0,0,1433
1901238,08112025,80,AC Milan,24341,Parma Calcio 1913,2,2,1532
