match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
1901288,73,Fiorentina,False,537,441,9,1,6,17,7
1901291,300,Atalanta,True,544,428,12,1,7,15,10
1901291,76,Verona,False,308,205,12,3,9,21,15
1901332,71,Bologna,True,461,341,11,0,7,11,4
1901332,300,Atalanta,False,424,307,11,2,9,16,8
1901334,73,Fiorentina,True,498,440,8,2,6,16,4
1901334,77,Lazio,False,480,399,17,2,13,12,7
1901337,76,Verona,True,319,234,11,2,9,20,13
1901337,276,Napoli,False,735,630,15,2,13,8,6
1901338,24341,Parma Calcio 1913,True,423,322,4,0,3,12,13
1901338,75,Inter,False,713,613,26,2,20,18,9
1901341,86,Udinese,True,430,322,9,2,8,10,8
1901341,72,Torino,False,484,374,10,1,9,19,8
1901160,73,Fiorentina,True,543,460,21,2,18,6,4
1901160,72,Torino,False,452,374,12,2,11,13,5
1901162,278,Genoa,True,352,264,12,2,6,25,6
1901162,276,Napoli,False,529,443,14,3,8,15,6
1901390,300,Atalanta,True,656,526,22,2,16,20,3
1901390,86,Udinese,False,316,232,8,2,5,12,7
1901391,78,Cagliari,True,401,301,8,1,7,17,12
1901391,1290,Como,False,523,423,8,2,4,28,11
1901394,777,Pisa,True,408,312,7,0,6,16,13
1901394,87,Juventus,False,586,505,25,4,22,12,11
1901240,2731,Cremonese,True,551,446,13,0,10,16,6
1901240,777,Pisa,False,341,248,13,1,11,19,8
1901282,84,Roma,True,462,361,6,0,5,11,8
1901282,78,Cagliari,False,398,307,15,1,12,23,9
1901283,2731,Cremonese,True,382,271,11,2,7,20,10
1901283,79,Lecce,False,401,287,9,0,6,19,7
1901285,77,Lazio,True,452,356,16,1,10,11,7
1901285,71,Bologna,False,489,404,13,1,9,15,6
1901286,87,Juventus,True,539,460,5,1,4,15,12
1901286,276,Napoli,False,537,434,9,2,7,15,10
1901333,78,Cagliari,True,565,479,21,2,21,11,3
1901333,2731,Cremonese,False,437,341,12,2,9,11,4
1901336,80,AC Milan,True,629,535,32,1,24,14,5
1901336,278,Genoa,False,402,319,7,1,6,12,7
1901156,75,Inter,True,558,496,23,5,16,13,4
1901156,2889,Sassuolo,False,346,281,7,0,4,6,2
1901159,24341,Parma Calcio 1913,True,419,337,5,1,3,9,7
1901159,71,Bologna,False,441,347,16,0,11,11,5
1901164,87,Juventus,True,698,600,34,2,30,23,7
1901164,77,Lazio,False,405,331,9,2,7,24,8
1901357,86,Udinese,True,365,249,6,1,3,16,7
1901357,79,Lecce,False,431,300,16,2,11,17,5
1901392,73,Fiorentina,True,551,461,12,0,10,13,5
1901392,24341,Parma Calcio 1913,False,436,347,8,0,5,15,4
1901396,79,Lecce,True,289,189,9,2,5,13,11
1901396,2731,Cremonese,False,427,283,10,1,4,20,4
1901398,76,Verona,True,258,155,15,2,11,28,13
1901398,71,Bologna,False,524,421,19,1,10,8,10
1901228,1290,Como,True,686,586,10,0,8,12,9
1901228,78,Cagliari,False,244,162,4,0,3,14,14
1901234,87,Juventus,True,822,721,22,0,19,16,6
1901234,72,Torino,False,316,238,8,0,5,14,15
1901236,76,Verona,True,305,197,5,0,4,18,10
1901236,79,Lecce,False,455,318,11,0,7,20,6
1901238,80,AC Milan,True,591,509,9,2,6,9,6
1901238,24341,Parma Calcio 1913,False,457,376,14,2,10,7,7
1901287,24341,Parma Calcio 1913,True,333,237,9,1,7,13,5
1901287,777,Pisa,False,496,383,14,0,12,13,4
1901289,72,Torino,True,331,254,8,2,6,24,3
1901289,80,AC Milan,False,599,521,17,3,13,11,6
1901290,278,Genoa,True,341,257,12,2,8,17,6
1901290,86,Udinese,False,469,369,23,1,16,20,14
1901157,78,Cagliari,True,499,398,3,0,2,14,15
1901157,84,Roma,False,553,457,15,2,14,10,12
1901158,300,Atalanta,True,538,429,29,2,24,10,5
1901158,2731,Cremonese,False,430,323,12,1,9,8,11
1901224,2889,Sassuolo,True,348,267,8,3,5,16,8
1901224,300,Atalanta,False,705,613,14,0,11,14,2
1901226,276,Napoli,True,589,491,4,0,3,9,4
1901226,71,Bologna,False,401,311,11,2,11,14,7
1901230,73,Fiorentina,True,451,359,7,2,4,17,5
1901230,278,Genoa,False,332,244,10,2,7,9,8
1901232,77,Lazio,True,509,433,8,0,7,5,9
1901232,75,Inter,False,606,518,8,2,7,14,4
1901242,84,Roma,True,533,440,13,2,8,13,5
1901242,86,Udinese,False,397,309,10,0,6,17,7
1901342,300,Atalanta,True,532,440,18,2,16,22,7
1901342,72,Torino,False,413,319,10,0,7,23,11
1901343,71,Bologna,True,341,248,7,1,7,15,9
1901343,1290,Como,False,485,397,12,1,9,18,3
1901349,2889,Sassuolo,True,354,266,5,0,3,20,11
1901349,84,Roma,False,634,544,26,2,22,23,7
1901350,86,Udinese,True,407,303,11,2,7,5,8
1901350,777,Pisa,False,357,236,14,2,12,11,8
1901344,80,AC Milan,True,440,373,13,1,13,13,3
1901344,73,Fiorentina,False,477,404,20,1,15,10,6
1901346,276,Napoli,True,521,430,7,2,5,13,6
1901346,75,Inter,False,523,435,13,2,11,21,10
1901348,24341,Parma Calcio 1913,True,473,374,12,1,8,19,7
1901348,79,Lecce,False,332,241,11,2,8,20,4
1901351,77,Lazio,True,733,633,11,0,8,13,7
1901351,76,Verona,False,421,314,11,1,6,15,15
1901345,278,Genoa,True,429,346,11,3,6,17,9
1901345,78,Cagliari,False,554,468,15,0,12,14,9
1901347,87,Juventus,True,618,548,18,4,13,11,8
1901347,2731,Cremonese,False,445,364,10,1,8,13,11
