match_id,scraped,competition_key,competition_type,source_stage_id,competition_phase,source_url,validation_status,validated_home_team,validated_away_team
1903825,True,,,,,,ok,FC Groningen,Fortuna Sittard
1903826,True,,,,,,ok,Excelsior,PEC Zwolle
1903827,True,,,,,,ok,Sparta Rotterdam,Fortuna Sittard
1903828,True,,,,,,ok,NEC Nijmegen,PEC Zwolle
1903829,True,,,,,,ok,Telstar,FC Utrecht
1903830,True,,,,,,ok,FC Volendam,Sparta Rotterdam
1903831,True,,,,,,ok,PSV Eindhoven,NAC Breda
1903832,True,,,,,,ok,Ajax,FC Groningen
1903833,True,,,,,,ok,Telstar,AZ Alkmaar
1903834,True,,,,,,ok,Excelsior,NAC Breda
1903835,True,,,,,,ok,Twente,Excelsior
1903836,True,,,,,,ok,Feyenoord,Twente
1903837,True,,,,,,ok,Go Ahead Eagles,FC Utrecht
1903838,True,,,,,,ok,FC Utrecht,Sparta Rotterdam
1903839,True,,,,,,ok,Go Ahead Eagles,FC Groningen
1903840,True,,,,,,ok,NEC Nijmegen,Sparta Rotterdam
1903841,True,,,,,,ok,AZ Alkmaar,NEC Nijmegen
1903842,True,,,,,,ok,Heracles,SC Heerenveen
1903843,True,,,,,,ok,PSV Eindhoven,FC Volendam
1903844,True,,,,,,ok,Excelsior,Ajax
1903845,True,,,,,,ok,NAC Breda,Telstar
1903846,True,,,,,,ok,Fortuna Sittard,Heracles
1903847,True,,,,,,ok,FC Volendam,Go Ahead Eagles
1903848,True,,,,,,ok,NEC Nijmegen,Ajax
1903849,True,,,,,,ok,Telstar,Feyenoord
1903850,True,,,,,,ok,SC Heerenveen,FC Utrecht
1903851,True,,,,,,ok,Fortuna Sittard,AZ Alkmaar
1903852,True,,,,,,ok,Twente,AZ Alkmaar
1903853,True,,,,,,ok,Heracles,Fortuna Sittard
1903854,True,,,,,,ok,FC Utrecht,PSV Eindhoven
1903855,True,,,,,,ok,PEC Zwolle,SC Heerenveen
1903856,True,,,,,,ok,NAC Breda,Twente
1903857,True,,,,,,ok,AZ Alkmaar,FC Volendam
1903858,True,,,,,,ok,AZ Alkmaar,Go Ahead Eagles
1903859,True,,,,,,ok,PSV Eindhoven,Feyenoord
1903860,True,,,,,,ok,Go Ahead Eagles,Fortuna Sittard
1903861,True,,,,,,ok,Excelsior,FC Groningen
1903862,True,,,,,,ok,FC Groningen,NAC Breda
1903863,True,,,,,,ok,Sparta Rotterdam,FC Groningen
1903864,True,,,,,,ok,FC Volendam,NEC Nijmegen
1903865,True,,,,,,ok,SC Heerenveen,Feyenoord
1903866,True,,,,,,ok,PEC Zwolle,Telstar
1903867,True,,,,,,ok,Feyenoord,PEC Zwolle
1903868,True,,,,,,ok,NEC Nijmegen,FC Utrecht
1903869,True,,,,,,ok,AZ Alkmaar,Ajax
1903870,True,,,,,,ok,SC Heerenveen,PSV Eindhoven
1903871,True,,,,,,ok,PSV Eindhoven,Excelsior
1903872,True,,,,,,ok,Go Ahead Eagles,Telstar
1903873,True,,,,,,ok,Heracles,Telstar
1903874,True,,,,,,ok,Sparta Rotterdam,Heracles
1903875,True,,,,,,ok,FC Groningen,PSV Eindhoven
1903876,True,,,,,,ok,Excelsior,Telstar
1903877,True,,,,,,ok,Telstar,Ajax
1903878,True,,,,,,ok,NAC Breda,Excelsior
1903879,True,,,,,,ok,Twente,PEC Zwolle
1903880,True,,,,,,ok,NEC Nijmegen,Heracles
1903881,True,,,,,,ok,Ajax,Go Ahead Eagles
1903882,True,,,,,,ok,Fortuna Sittard,Sparta Rotterdam
1903883,True,,,,,,ok,Twente,SC Heerenveen
1903884,True,,,,,,ok,Excelsior,Go Ahead Eagles
1903885,True,,,,,,ok,FC Utrecht,Feyenoord
1903886,True,,,,,,ok,SC Heerenveen,Fortuna Sittard
1903887,True,,,,,,ok,FC Volendam,FC Groningen
1903888,True,,,,,,ok,Heracles,FC Volendam
1903889,True,,,,,,ok,SC Heerenveen,Sparta Rotterdam
1903890,True,,,,,,ok,Heracles,PSV Eindhoven
1903891,True,,,,,,ok,NAC Breda,Ajax
1903892,True,,,,,,ok,NEC Nijmegen,Fortuna Sittard
1903893,True,,,,,,ok,PSV Eindhoven,PEC Zwolle
1903894,True,,,,,,ok,Telstar,Sparta Rotterdam
1903895,True,,,,,,ok,Telstar,NAC Breda
1903896,True,,,,,,ok,Twente,NEC Nijmegen
1903897,True,,,,,,ok,Twente,Feyenoord
1903898,True,,,,,,ok,Ajax,PSV Eindhoven
1903899,True,,,,,,ok,FC Utrecht,AZ Alkmaar
1903900,True,,,,,,ok,AZ Alkmaar,Twente
1903901,True,,,,,,ok,PEC Zwolle,Ajax
1903902,True,,,,,,ok,FC Volendam,SC Heerenveen
1903903,True,,,,,,ok,Excelsior,SC Heerenveen
1903904,True,,,,,,ok,FC Groningen,Excelsior
1903905,True,,,,,,ok,Go Ahead Eagles,Twente
1903906,True,,,,,,ok,NEC Nijmegen,Telstar
1903907,True,,,,,,ok,Fortuna Sittard,Feyenoord
1903908,True,,,,,,ok,FC Groningen,Ajax
1903909,True,,,,,,ok,Sparta Rotterdam,Go Ahead Eagles
1903910,True,,,,,,ok,FC Utrecht,NAC Breda
1903911,True,,,,,,ok,PEC Zwolle,Heracles
1903912,True,,,,,,ok,Heracles,FC Utrecht
1903913,True,,,,,,ok,Ajax,FC Utrecht
1903914,True,,,,,,ok,PEC Zwolle,FC Volendam
1903915,True,,,,,,ok,Excelsior,FC Volendam
1903916,True,,,,,,ok,Ajax,Fortuna Sittard
1903917,True,,,,,,ok,Feyenoord,AZ Alkmaar
1903918,True,,,,,,ok,Excelsior,AZ Alkmaar
1903919,True,,,,,,ok,NAC Breda,Feyenoord
1903920,True,,,,,,ok,Go Ahead Eagles,PSV Eindhoven
1903921,True,,,,,,ok,FC Volendam,PSV Eindhoven
1903922,True,,,,,,ok,NEC Nijmegen,FC Volendam
1903923,True,,,,,,ok,FC Groningen,NEC Nijmegen
1903924,True,,,,,,ok,Feyenoord,Go Ahead Eagles
1903925,True,,,,,,ok,PSV Eindhoven,AZ Alkmaar
1903926,True,,,,,,ok,FC Groningen,FC Utrecht
1903927,True,,,,,,ok,Fortuna Sittard,Telstar
1903928,True,,,,,,ok,SC Heerenveen,PEC Zwolle
1903929,True,,,,,,ok,Sparta Rotterdam,PEC Zwolle
1903930,True,,,,,,ok,NAC Breda,SC Heerenveen
1903931,True,,,,,,ok,Ajax,Sparta Rotterdam
1903932,True,,,,,,ok,Heracles,NAC Breda
1903933,True,,,,,,ok,Fortuna Sittard,PEC Zwolle
1903934,True,,,,,,ok,AZ Alkmaar,Heracles
1903935,True,,,,,,ok,Sparta Rotterdam,NEC Nijmegen
1903936,True,,,,,,ok,Telstar,Heracles
1903937,True,,,,,,ok,FC Volendam,Fortuna Sittard
1903938,True,,,,,,ok,Telstar,Twente
1903939,True,,,,,,ok,Twente,Sparta Rotterdam
1903940,True,,,,,,ok,Feyenoord,Excelsior
1903941,True,,,,,,ok,AZ Alkmaar,NAC Breda
1903942,True,,,,,,ok,Go Ahead Eagles,NAC Breda
1903943,True,,,,,,ok,FC Volendam,Telstar
1903944,True,,,,,,ok,SC Heerenveen,Telstar
1903945,True,,,,,,ok,Ajax,NEC Nijmegen
1903946,True,,,,,,ok,SC Heerenveen,Ajax
1903947,True,,,,,,ok,PSV Eindhoven,NEC Nijmegen
1903948,True,,,,,,ok,Heracles,FC Groningen
1903949,True,,,,,,ok,AZ Alkmaar,Sparta Rotterdam
1903950,True,,,,,,ok,Twente,FC Utrecht
1903951,True,,,,,,ok,NEC Nijmegen,Go Ahead Eagles
1903952,True,,,,,,ok,PEC Zwolle,FC Groningen
1903953,True,,,,,,ok,Feyenoord,Ajax
1903954,True,,,,,,ok,PSV Eindhoven,Twente
1903955,True,,,,,,ok,Feyenoord,Telstar
1903956,True,,,,,,ok,FC Groningen,AZ Alkmaar
1903957,True,,,,,,ok,Sparta Rotterdam,Excelsior
1903958,True,,,,,,ok,Heracles,Excelsior
1903959,True,,,,,,ok,Go Ahead Eagles,Heracles
1903960,True,,,,,,ok,FC Utrecht,Fortuna Sittard
1903961,True,,,,,,ok,NAC Breda,FC Volendam
1903962,True,,,,,,ok,PEC Zwolle,Feyenoord
1903963,True,,,,,,ok,NEC Nijmegen,SC Heerenveen
1903964,True,,,,,,ok,PSV Eindhoven,SC Heerenveen
1903965,True,,,,,,ok,Fortuna Sittard,Excelsior
1903966,True,,,,,,ok,Twente,FC Groningen
1903967,True,,,,,,ok,FC Utrecht,PEC Zwolle
1903968,True,,,,,,ok,Fortuna Sittard,Twente
1903969,True,,,,,,ok,Sparta Rotterdam,FC Volendam
1903970,True,,,,,,ok,Telstar,PSV Eindhoven
1903971,True,,,,,,ok,FC Utrecht,Go Ahead Eagles
1903972,True,,,,,,ok,PEC Zwolle,NAC Breda
1903973,True,,,,,,ok,Ajax,Twente
1903974,True,,,,,,ok,AZ Alkmaar,Fortuna Sittard
1903975,True,,,,,,ok,Excelsior,NEC Nijmegen
1903976,True,,,,,,ok,FC Volendam,Feyenoord
1903977,True,,,,,,ok,Go Ahead Eagles,PEC Zwolle
1903978,True,,,,,,ok,SC Heerenveen,Heracles
1903979,True,,,,,,ok,NAC Breda,Sparta Rotterdam
