league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
Bundesliga,1910637,1211,Hoffenheim,True,366,277,13,1,11,26,7
Bundesliga,1910639,7614,RBL,True,459,390,18,3,11,12,7
Bundesliga,1910639,282,FC Koln,False,522,436,13,1,11,12,8
Bundesliga,1910643,42,Werder Bremen,True,604,510,13,0,7,14,5
Bundesliga,1910643,50,Freiburg,False,384,299,10,3,8,17,14
Bundesliga,1910658,1730,Augsburg,True,496,390,14,0,11,11,4
Bundesliga,1910658,42,Werder Bremen,False,428,324,9,0,5,23,5
Bundesliga,1910662,796,Union Berlin,False,353,266,11,1,7,7,3
Bundesliga,1910662,282,FC Koln,True,565,473,13,0,7,9,2
Bundesliga,1910664,45,Eintracht Frankfurt,False,607,499,9,1,6,11,8
Bundesliga,1910664,38,Hamburg,True,413,316,9,1,6,18,15
Bundesliga,1910667,7614,RBL,True,510,421,19,1,14,16,9
Bundesliga,1910667,36,Leverkusen,False,652,572,15,3,13,10,11
Bundesliga,1910669,41,Stuttgart,True,416,302,10,0,7,10,11
Bundesliga,1910669,1211,Hoffenheim,False,448,322,4,0,2,18,5
Bundesliga,1910671,50,Freiburg,False,411,322,15,4,9,12,8
Bundesliga,1910671,33,Wolfsburg,True,514,412,14,3,10,17,4
Bundesliga,1910717,45,Eintracht Frankfurt,False,530,461,9,2,7,11,6
Bundesliga,1910717,37,Bayern,True,542,483,24,3,18,15,7
Bundesliga,1910719,1211,Hoffenheim,False,538,419,18,2,14,13,5
Bundesliga,1910719,282,FC Koln,True,322,214,9,2,8,18,10
Bundesliga,1910727,44,Borussia Dortmund,False,411,304,11,2,9,13,2
Bundesliga,1910727,7614,RBL,True,486,396,14,2,12,11,12
Bundesliga,1910731,36,Leverkusen,False,618,508,16,0,6,10,6
Bundesliga,1910731,796,Union Berlin,True,346,236,8,1,5,14,8
Bundesliga,1910733,33,Wolfsburg,True,488,414,10,2,9,12,6
Bundesliga,1910733,1730,Augsburg,False,508,405,15,3,12,15,3
Bundesliga,1910792,796,Union Berlin,False,268,187,5,0,2,17,8
Bundesliga,1910792,37,Bayern,True,753,665,31,4,23,11,5
Bundesliga,1910794,44,Borussia Dortmund,True,595,491,24,3,10,14,6
Bundesliga,1910794,38,Hamburg,False,284,201,4,2,4,26,8
Bundesliga,1910795,282,FC Koln,True,420,324,12,3,11,13,9
Bundesliga,1910795,134,Borussia M.Gladbach,False,408,315,9,3,6,8,9
