league,club,country_code,level,elo,snapshot_date,fetched_at,source
La_Liga,Bilbao,ESP,1,1710.68200684,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Celta,ESP,1,1708.39294434,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Espanyol,ESP,1,1677.43798828,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Sociedad,ESP,1,1651.88317871,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Osasuna,ESP,1,1651.50708008,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Rayo Vallecano,ESP,1,1640.06970215,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Valencia,ESP,1,1634.76416016,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Mallorca,ESP,1,1617.79968262,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Girona,ESP,1,1613.44250488,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Elche,ESP,1,1610.79699707,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Sevilla,ESP,1,1608.20361328,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Alaves,ESP,1,1607.42871094,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Getafe,ESP,1,1606.20336914,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Levante,ESP,1,1590.41723633,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
La_Liga,Oviedo,ESP,1,1550.79650879,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Bayern,GER,1,1996.34960938,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Dortmund,GER,1,1858.96459961,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Leverkusen,GER,1,1836.62121582,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Stuttgart,GER,1,1763.90783691,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,RB Leipzig,GER,1,1760.5579834,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Frankfurt,GER,1,1729.96228027,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Freiburg,GER,1,1726.53820801,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Hoffenheim,GER,1,1690.6229248,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Werder,GER,1,1661.1607666,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Gladbach,GER,1,1656.04382324,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Mainz,GER,1,1653.68530273,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Union Berlin,GER,1,1648.53833008,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Wolfsburg,GER,1,1639.75415039,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Augsburg,GER,1,1606.23059082,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Koeln,GER,1,1584.99169922,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Hamburg,GER,1,1579.8034668,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,St Pauli,GER,1,1567.62573242,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Bundesliga,Heidenheim,GER,1,1551.87487793,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Paris SG,FRA,1,1968.61633301,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Lens,FRA,1,1766.29040527,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Marseille,FRA,1,1764.95349121,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Lyon,FRA,1,1752.10424805,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Lille,FRA,1,1744.03051758,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Rennes,FRA,1,1707.56188965,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Monaco,FRA,1,1701.26806641,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
