player_id,player_name,tm_player_id,tm_player_name,confidence,verified,tm_team_name
128839.0,Morten Thorsby,,Morten Thorsby,100.0,auto,US Cremonese
330629.0,Marius Marin,,Marius Marin,100.0,auto,Pisa Sporting Club
424834.0,Mikael Ellertsson,,Mikael Egill Ellertsson,95.0,auto,Genoa CFC
476109.0,Cher Ndour,,Cher Ndour,100.0,auto,ACF Fiorentina
136279.0,Roberto Gagliardini,,Roberto Gagliardini,100.0,auto,Hellas Verona
240989.0,Alberto Grassi,,Alberto Grassi,100.0,auto,US Cremonese
320585.0,Jesper Karlström,,Jesper Karlström,100.0,auto,Udinese Calcio
319034.0,Ylber Ramadani,,Ylber Ramadani,100.0,auto,US Lecce
130368.0,Alessandro Deiola,,Alessandro Deiola,100.0,auto,Cagliari Calcio
424280.0,Omri Gandelman,,Omri Gandelman,100.0,auto,US Lecce
446958.0,Warren Bondo,,Warren Bondo,100.0,auto,US Cremonese
447528.0,Giovanni Fabbian,,Giovanni Fabbian,100.0,auto,ACF Fiorentina
407076.0,Oliver Sørensen,,Oliver Sørensen,100.0,auto,Parma Calcio 1913
424806.0,Morten Frendrup,,Morten Frendrup,100.0,auto,Genoa CFC
383847.0,Romano Schmid,,Romano Floriani Mussolini,85.5,auto,US Cremonese
408449.0,Nico Williams,,Nico Paz,85.5,auto,Como 1907
403913.0,Nicola Zalewski,,Nicola Zalewski,100.0,auto,Atalanta BC
337916.0,Pedro Neto,,Pedro,90.0,auto,SS Lazio
378482.0,Lameck Banda,,Lameck Banda,100.0,auto,US Lecce
444679.0,Warren Zaïre-Emery,,Warren Bondo,85.5,auto,US Cremonese
368519.0,Bryan Gil,,Bryan Cristante,85.5,auto,AS Roma
345322.0,Nico González,,Nico Paz,85.5,auto,Como 1907
418589.0,Patrick Wimmer,,Patric,90.0,auto,SS Lazio
448514.0,Pedro Díaz,,Pedro,90.0,auto,SS Lazio
385080.0,Marco Grüll,,Marco Carnesecchi,85.5,auto,Atalanta BC
403859.0,Pape Matar Sarr,,Amin Sarr,85.5,auto,Hellas Verona
105347.0,Jean-Daniel Akpa Akpro,,Jean-Daniel Akpa Akpro,100.0,auto,Hellas Verona
422939.0,Nico González,,Nico Paz,85.5,auto,Como 1907
401173.0,Urko González de Zárate,,Stefan de Vrij,85.5,auto,Inter Milan
444691.0,Christian Ordóñez,,Christian Ordóñez,100.0,auto,Parma Calcio 1913
448050.0,Marc Aguado,,Marc Oliver Kempf,85.5,auto,Como 1907
371281.0,Michael Olise,,Michael Olise,100.0,auto,Bayern Munich
480249.0,Lamine Yamal,,Lamine Yamal,100.0,auto,FC Barcelona
